game_id,platform
1408000,Steam
1408050,Steam
1408060,Steam
1408070,Steam
1408080,Steam
1408100,Steam
1408110,Steam
1408150,Steam
1407140,Steam
1407190,Steam
1407210,Steam
1407240,Steam
1407420,Steam
1407460,Steam
1407520,Steam
1407570,Steam
1407620,Steam
1406690,Steam
1406700,Steam
1406740,Steam
1406750,Steam
1406770,Steam
1406780,Steam
1406810,Steam
1406850,Steam
1406900,Steam
1406930,Steam
1406990,Steam
1407000,Steam
1407050,Steam
1407060,Steam
1407080,Steam
1407090,Steam
1407100,Steam
1406240,Steam
1406250,Steam
1406260,Steam
1406280,Steam
1406340,Steam
1406350,Steam
1406490,Steam
1406570,Steam
1406610,Steam
1406630,Steam
1405780,Steam
1405810,Steam
1405950,Steam
1405960,Steam
1405970,Steam
1405980,Steam
1406000,Steam
1406020,Steam
1406040,Steam
1404550,Steam
1404560,Steam
1404630,Steam
1406080,Steam
1406090,Steam
1406110,Steam
1406140,Steam
1406150,Steam
1406200,Steam
1405390,Steam
1405440,Steam
1405470,Steam
1405480,Steam
1405500,Steam
1405530,Steam
1405660,Steam
1405670,Steam
1405730,Steam
1405740,Steam
1405010,Steam
1405090,Steam
1405170,Steam
1405180,Steam
1405220,Steam
1405260,Steam
1405270,Steam
1405320,Steam
1405360,Steam
1404530,Steam
1402090,Steam
1404660,Steam
1404750,Steam
1404770,Steam
1404790,Steam
1404800,Steam
1404840,Steam
1404870,Steam
1404930,Steam
1404960,Steam
1404970,Steam
1404980,Steam
1404050,Steam
1404070,Steam
1404080,Steam
1404090,Steam
1404130,Steam
1404150,Steam
1404180,Steam
1404190,Steam
1404330,Steam
1404360,Steam
1404450,Steam
1403550,Steam
1403570,Steam
1403590,Steam
1403680,Steam
1403710,Steam
1403720,Steam
1403740,Steam
1403800,Steam
1403890,Steam
1403990,Steam
1404010,Steam
1404030,Steam
1403020,Steam
1403040,Steam
1403080,Steam
1403110,Steam
1403130,Steam
1403190,Steam
1403230,Steam
1403270,Steam
1403280,Steam
1403310,Steam
1403350,Steam
1403370,Steam
1403400,Steam
1403460,Steam
1403520,Steam
1402580,Steam
1402700,Steam
1402740,Steam
1402780,Steam
1402790,Steam
1402900,Steam
1402960,Steam
1402030,Steam
1402060,Steam
1402120,Steam
1402130,Steam
1402280,Steam
1402290,Steam
1402320,Steam
1402380,Steam
1402400,Steam
1402410,Steam
1402420,Steam
1402460,Steam
1401570,Steam
1401610,Steam
1401620,Steam
1401670,Steam
1401680,Steam
1401750,Steam
1401840,Steam
1401870,Steam
1401880,Steam
1401890,Steam
1401940,Steam
1401970,Steam
1401990,Steam
1402000,Steam
1402010,Steam
1401110,Steam
1401130,Steam
1401150,Steam
1401170,Steam
1401220,Steam
1401320,Steam
1401340,Steam
1401360,Steam
1401390,Steam
1401400,Steam
1401500,Steam
1400760,Steam
1400850,Steam
1400870,Steam
1400910,Steam
1400920,Steam
1400930,Steam
1400940,Steam
1400970,Steam
1400980,Steam
1401070,Steam
1400320,Steam
1400350,Steam
1400360,Steam
1400390,Steam
1400480,Steam
1400520,Steam
1400610,Steam
1400620,Steam
1400630,Steam
1400650,Steam
1400680,Steam
1400700,Steam
1399840,Steam
1399850,Steam
1399910,Steam
1399720,Steam
1399930,Steam
1399990,Steam
1400000,Steam
1400060,Steam
1400070,Steam
1400080,Steam
