game_id,genres
1420970,Role Playing
1420980,Action
1420980,Adventure
1420980,Indie
1420980,Simulation
1420980,Strategy
1420990,Action
1420990,Adventure
1420990,Indie
1421020,Action
1421020,Casual
1421020,Indie
1421020,Simulation
1421100,Casual
1421100,Free To Play
1421120,Action
1421120,Adventure
1421140,Casual
1421140,Indie
1421200,Action
1421200,Adventure
1421200,Casual
1420400,Action
1420400,Indie
1420400,Early Access
1420510,Action
1420510,Indie
1420510,Role Playing
1420510,Early Access
1420540,Casual
1420580,Action
1420580,Free To Play
1420580,Indie
1420580,Early Access
1420640,Utilities
1420650,Action
1420650,Indie
1420680,Casual
1420680,Indie
1420680,Role Playing
1420680,Strategy
1420720,Casual
1420720,Free To Play
1420720,Indie
1420720,Strategy
1420730,Action
1420730,Indie
1420740,Indie
1420740,Role Playing
1420740,Simulation
1420770,Casual
1420770,Indie
1420770,Simulation
1420780,Casual
1420780,Role Playing
1420780,Simulation
1420780,Strategy
1420810,Action
1420810,Indie
1419980,Adventure
1419980,Simulation
1419980,Early Access
1420050,Casual
1420050,Free To Play
1420050,Indie
1420050,Role Playing
1420050,Simulation
1420060,Action
1420060,Casual
1420060,Free To Play
1420060,Indie
1420080,Action
1420080,Role Playing
1420160,Casual
1420160,Indie
1420180,Indie
1420180,Role Playing
1420180,Simulation
1420320,Casual
1420320,Indie
1420330,Indie
1420330,Simulation
1419480,Casual
1419480,Indie
1419510,Indie
1419510,Role Playing
1419510,Strategy
1419510,Free To Play
1419580,Action
1419580,Strategy
1419620,Adventure
1419620,Indie
1419670,Action
1419670,Indie
1419680,Action
1419680,Adventure
1419680,Casual
1419680,Indie
1419730,Casual
1419730,Indie
1419730,Strategy
1419740,Casual
1419740,Free To Play
1419740,Indie
1419750,Adventure
1419750,Indie
1419750,Role Playing
1419760,Action
1419760,Indie
1419770,Action
1419770,Adventure
1419770,Casual
1419770,Indie
1419860,Adventure
1419860,Casual
1419860,Indie
1419870,Indie
1419870,Role Playing
1419880,Role Playing
1418990,Action
1418990,Casual
1418990,Indie
1419040,Casual
1419040,Indie
1419040,Simulation
1419060,Action
1419060,Indie
1419060,Early Access
1419070,Adventure
1419070,Casual
1419070,Indie
1419070,Role Playing
1419100,Adventure
1419100,Free To Play
1419100,Indie
1419100,Simulation
1419100,Strategy
1419110,Simulation
1419130,Action
1419130,Adventure
1419130,Indie
1419130,Role Playing
1419130,Simulation
1419150,Simulation
1419150,Strategy
1419160,Action
1419160,Adventure
1419180,Adventure
1419180,Role Playing
1419190,Casual
1419190,Indie
1419190,Role Playing
1419200,Adventure
1419200,Casual
1419200,Indie
1419200,Role Playing
1418490,Adventure
1418490,Indie
1419290,Action
1419290,Adventure
1419290,Casual
1419290,Indie
1419330,Role Playing
1419330,Strategy
1419350,Action
1419350,Adventure
1419350,Indie
1419350,Role Playing
1419360,Action
1419370,Casual
1419370,Free To Play
1419370,Indie
1419380,Adventure
1419380,Indie
1419380,Free To Play
1419440,Action
1419440,Adventure
1419440,Casual
1419440,Indie
1419440,Racing
1419440,Role Playing
1419440,Simulation
